tiempo,id,x,y
10,0,102,110
10,1,122,110
10,2,142,110
10,3,162,110
11,0,104,110
11,1,124,110
11,2,144,110
11,3,164,110
12,0,106,100.4
12,1,126,100.4
12,2,146,100.4
12,3,166,100.4
13,0,108,91.2
13,1,128,91.2
13,2,148,91.2
13,3,168,91.2
14,0,110,82.4
14,1,130,82.4
14,2,150,82.4
14,3,170,82.4
15,0,112,74
15,1,132,74
15,2,152,74
15,3,172,74
16,0,114,66
16,1,134,66
16,2,154,66
16,3,174,66
17,0,116,58.4
17,1,136,58.4
17,2,156,58.4
17,3,176,58.4
18,0,118,51.2
18,1,138,51.2
18,2,158,51.2
18,3,178,51.2
19,0,120,44.4
19,1,140,44.4
19,2,160,44.4
19,3,180,44.4
20,0,122,38
20,1,142,38
20,2,162,38
20,3,182,38
21,0,124,32
21,1,144,32
21,2,164,32
21,3,184,32
22,0,126,26.4
22,1,146,26.4
22,2,166,26.4
22,3,186,26.4
23,0,128,21.2
23,1,148,21.2
23,2,168,21.2
23,3,188,21.2
24,0,130,16.4
24,1,150,16.4
24,2,170,16.4
24,3,190,16.4
25,0,132,12
25,1,152,12
25,2,172,12
25,3,192,12
26,0,134,10
26,1,154,10
26,2,174,10
26,3,194,10
27,0,136,14.4
27,1,156,14.4
27,2,176,14.4
27,3,196,14.4
28,0,138,19.2
28,1,158,19.2
28,2,178,19.2
28,3,198,19.2
29,0,140,24.4
29,1,160,24.4
29,2,180,24.4
29,3,200,24.4
30,0,142,30
30,1,162,30
30,2,182,30
30,3,202,30
31,0,144,36
31,1,164,36
31,2,184,36
31,3,204,36
32,0,146,42.4
32,1,166,42.4
32,2,186,42.4
32,3,206,42.4
33,0,148,49.2
33,1,168,49.2
33,2,188,49.2
33,3,208,49.2
34,0,150,56.4
34,1,170,56.4
34,2,190,56.4
34,3,210,56.4
35,0,152,64
35,1,172,64
35,2,192,64
35,3,212,64
36,0,154,72
36,1,174,72
36,2,194,72
36,3,214,72
37,0,156,80.4
37,1,176,80.4
37,2,196,80.4
